# 派大星直播可用，TVBOX类可用
# 替换CCTV-1-综合, 中的-综合，可以在idea中使用正则表达式 -(\W+)
# 记得将CCTV-0替换为CCTV-
# 参考：http://home.jundie.top:81/Cat/tv/live.txt
# 参考：https://github.com/joy-sheng/newsboy/blob/main/iptv.m3u8
# 参考：http://tonkiang.us/
# 来自：https://xhdwc.tk/ https://xhdwc.tk/tvlive.txt
# 来自https://github.com/joy-sheng/newsboy/blob/main/iptv.m3u8

常看频道,#genre#
广东体育,http://219.135.208.218:8083/tsfile/live/1000_1.m3u8
浙江卫视,http://14.29.76.30:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://219.147.3.106:4455/newlive/live/hls/17/live.m3u8
浙江卫视,http://218.13.170.98:9901/tsfile/live/1002_1.m3u8
浙江卫视,http://113.57.109.36:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://125.210.152.19:9123/live/hzgq-zjwsgq-h264.m3u8
湖南卫视,http://123.10.76.176:808/hls/33/index.m3u8
湖南卫视,http://219.147.3.106:4455/newlive/live/hls/18/live.m3u8
湖南卫视,http://113.57.109.36:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://61.182.33.218:8000/hls/17/index.m3u8
湖南卫视,http://125.210.152.19:9123/live/hzgq-hnwsgq-h264.m3u8
湖南卫视,http://220.164.192.48:50085/tsfile/live/0107_1.m3u8
湖南卫视,http://120.7.86.41:808/hls/18/index.m3u8
江苏卫视,http://219.147.3.106:4455/newlive/live/hls/19/live.m3u8
江苏卫视,http://61.182.33.218:8000/hls/18/index.m3u8
江苏卫视,http://171.8.245.48:808/hls/30/index.m3u8

CCTV-1,http://123.10.76.176:808/hls/1/index.m3u8
CCTV-2,http://123.10.76.176:808/hls/2/index.m3u8
CCTV-3,http://123.10.76.176:808/hls/3/index.m3u8
CCTV-4,http://123.10.76.176:808/hls/4/index.m3u8
CCTV-5,http://123.10.76.176:808/hls/5/index.m3u8
CCTV-6,http://123.10.76.176:808/hls/6/index.m3u8
CCTV-7,http://123.10.76.176:808/hls/7/index.m3u8
CCTV-8,http://123.10.76.176:808/hls/8/index.m3u8
CCTV-9,http://123.10.76.176:808/hls/9/index.m3u8
CCTV-10,http://123.10.76.176:808/hls/10/index.m3u8
CCTV-11,http://123.10.76.176:808/hls/11/index.m3u8
CCTV-12,http://123.10.76.176:808/hls/12/index.m3u8
CCTV-13,http://123.10.76.176:808/hls/13/index.m3u8
CCTV-14,http://123.10.76.176:808/hls/14/index.m3u8
CCTV-15,http://123.10.76.176:808/hls/15/index.m3u8
CCTV-1,http://111.126.255.122:808/hls/101/index.m3u8
CCTV-1,http://123.187.46.90:65000/hls/1/index.m3u8
CCTV-2,http://111.11.98.205:9900/hls/2/index.m3u8
CCTV-3,http://111.126.255.2:808/hls/103/index.m3u8
CCTV-4,http://159.75.85.63:5679/cctv4k.php
CCTV-5,http://1.30.18.218:20080/hls/5/index.m3u8
CCTV-6,http://1.30.18.218:20080/hls/6/index.m3u8
CCTV-6,http://110.7.130.246:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://110.7.130.110:9901/tsfile/live/0006_1.m3u8
CCTV-8,http://123.10.76.176:808/hls/8/index.m3u8
CCTV-9,http://222.240.82.92:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://123.184.70.100:801/hls/78/index.m3u8
CCTV-12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://111.11.98.205:9900/hls/13/index.m3u8
CCTV-13,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-17,http://218.13.170.98:9901/tsfile/live/0016_1.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-英语,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8?sign=1652235852-b3d2d3595f8f9f6fb0779c5a9a7d0285
CGTN-英语,http://live.cgtn.com/500/prog_index.m3u8
CCTV-1,http://182.122.73.120:8089/hls/1/index.m3u8
CCTV-1,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1,http://219.147.3.106:4455/newlive/live/hls/1/live.m3u8
